id,time,azimuth,elevation,x,y,z,r,region,deposited_charge
1,1756266845.981506109,122.363775,42.820071,-7.449058,-3.434284,7.888594,11.380364,0,1.085555047e-01
1,1756266845.981565952,122.251413,43.289057,-7.349388,-3.373482,7.890657,11.298511,1,-1.320269652e-02
1,1756266845.981592894,121.704504,43.452858,-7.464992,-3.346457,8.002819,11.444212,1,-1.320269652e-02
1,1756266845.981595993,123.399728,42.449123,-7.284803,-3.471127,7.844002,11.253686,0,1.085555047e-01
1,1756266845.982786894,122.565773,44.122715,-7.457063,-3.518156,8.138276,11.585195,1,-1.320269652e-02
1,1756266845.982933998,122.534733,43.537176,-7.450934,-3.531145,7.915239,11.429629,1,-1.320269652e-02
2,1756266845.984774113,122.482014,43.380142,-7.713861,-3.627955,8.194747,11.824533,1,-1.320269652e-02
2,1756266845.984782934,123.081332,44.141067,-7.444602,-3.675548,7.969364,11.508367,1,-1.320269652e-02
2,1756266845.984808922,121.434949,44.175835,-8.070612,-3.586704,8.808347,12.473420,1,-1.320269652e-02
2,1756266845.984812021,123.411947,43.449140,-7.789023,-3.731839,8.612356,12.197056,1,-1.320269652e-02
2,1756266845.985694885,125.658785,43.552891,-7.407861,-3.971716,8.241794,11.771920,1,-1.320269652e-02
2,1756266845.986378908,124.083395,44.175249,-7.497649,-3.785778,8.306428,11.812857,1,-1.320269652e-02
2,1756266845.986433029,121.930697,44.246386,-7.936037,-3.686360,8.530344,12.220340,1,-1.320269652e-02
2,1756266845.986788988,125.177191,43.545988,-7.664422,-4.037150,8.451754,12.102648,1,-1.320269652e-02
2,1756266845.987128019,125.180344,43.111805,-7.347459,-3.910411,7.872324,11.456437,1,-1.320269652e-02
2,1756266845.987183094,125.158648,44.373813,-7.381326,-3.943057,8.211632,11.724443,1,-1.320269652e-02
2,1756266845.987478971,124.595310,43.719586,-7.430481,-3.837851,8.138336,11.669347,1,-1.320269652e-02
3,1756266845.989586115,126.210945,43.050981,-7.522507,-4.178548,8.126716,11.836042,1,-1.320269652e-02
3,1756266845.990142107,125.556799,43.381170,-7.733222,-4.197860,8.349041,12.129767,1,-1.320269652e-02
3,1756266845.991441965,126.747211,42.689861,-7.732126,-4.366843,8.363770,12.198678,1,-1.320269652e-02
4,1756266845.998914957,128.173798,40.634716,-7.685960,-4.514960,8.172262,12.093168,1,-1.320269652e-02
5,1756266846.003581047,125.302526,42.364510,-8.103676,-4.212475,8.851277,12.718475,1,-1.320269652e-02
6,1756266846.007505894,126.330747,41.284517,-7.782662,-4.404740,7.753688,11.836015,0,1.085555047e-01
6,1756266846.007574081,126.363893,41.720390,-8.028282,-4.438764,8.442935,12.467521,1,-1.320269652e-02
6,1756266846.007580042,126.093490,41.887588,-8.000885,-4.402922,8.350217,12.374409,1,-1.320269652e-02
