DateTime(GMT+8)	Time(ms)	Z(km)	Latitude	Longitude
2025-08-11 05:20:48.696	696.3	1.92	2.6097991881	101.2878110647
2025-08-11 05:20:48.696	696.4	13.03	2.5423428789	101.7523857548
2025-08-11 05:20:48.734	734.3	7.92	2.4174788996	101.8211255454
2025-08-11 05:20:48.734	734.3	7.92	2.4174788996	101.8211255454
2025-08-11 05:20:48.735	735.9	0.77	2.6103453220	101.2923068526
2025-08-11 05:20:48.736	736.1	8.46	2.5288130289	101.8488734188
2025-08-11 05:20:48.738	738.1	9.39	2.4641018661	101.7151018514
2025-08-11 05:20:48.738	738.1	9.39	2.4641018661	101.7151018514
2025-08-11 05:20:48.854	854.4	8.10	2.5938652395	101.3842207697
2025-08-11 05:20:48.855	855.1	14.94	2.5612370082	102.0448901656
2025-08-11 05:20:48.969	969.3	8.85	2.5900594658	101.3735225946
2025-08-11 05:20:48.969	969.4	14.39	2.5631445555	101.5684895981
2025-08-11 05:20:48.971	971.8	10.21	2.5986042265	101.3114695198
2025-08-11 05:20:48.971	971.9	15.85	2.5729601255	101.4975362470
2025-08-11 05:20:48.997	997.8	7.41	2.6057340577	101.2932096279
2025-08-11 05:20:48.997	998.0	13.21	2.5381895061	101.7689324764
